TMX,TMY,Tectonic Bedrock Age (MA),Interpreted Bedrock Age (MA),TMI,RTP,1VD,DGIR,AuSREM,Prox_Ultramafic Source,Prox_MajorCrustal,Prox_Fault,worms_mag_1km,worms_mag_4.6km,worms_mag_11km,worms_mag_50km,worms_grav_1km,worms_grav_4.6km,worms_grav_11km,worms_grav_50km,K_pct,Th_ppm,U_ppm,Ni_mine
13465000,-3285000,2960,2726,-5.68854475,116.4538803,0.596635342,48.47567749,223.973,72.60914674,13327.45459,13181.53237,104.6576,48.899899,39.398117,33.586763,33.237528,49.883415,57.200327,49.789287,0.572961,8.787947,0.954018,1
13465000,-3290000,2960,2726,-120.6573792,-89.52983856,0.264471024,7.321502686,224.133,0,15303.49426,12720.01061,38.810241,26.898832,39.853403,33.629448,35.863578,48.674529,63.053548,49.010224,0.572961,8.787947,0.954018,0
13465000,-3295000,2960,2726,-121.7612305,-151.566803,-0.156702682,-44.73267365,224.119,1135.540618,17557.92099,10755.3746,53.703569,42.543379,39.539644,33.651419,33.216014,46.055882,73.11841,48.102782,0.609779,8.666999,0.927349,0
13465000,-3300000,3010,3010,-165.8695984,-222.9341736,0.123779364,-9.270133972,224.024,1454.408167,19903.7808,8493.939973,51.01209,44.11984,37.255178,33.655756,45.27095,45.783228,80.455817,46.988064,0.678952,9.638902,1.076188,0
13465000,-3305000,3010,3010,-111.3303757,-182.2575989,-0.058341924,-94.42951965,223.903,2555.597396,22150.34565,8866.563578,55.196183,43.31327,35.447172,33.644419,46.014006,45.401222,70.999051,45.642494,0.720554,10.756868,1.372051,0
13465000,-3310000,3010,3010,-21.41631126,-72.78676605,-0.113741398,-130.4833984,223.647,1409.115025,24521.54702,10699.09142,48.748327,47.406562,38.810732,33.617979,34.292071,43.265664,64.463006,46.751183,0.731569,9.695182,1.141476,0
13465000,-3315000,3010,3010,-142.4261017,43.05290604,-0.169254154,-183.5014954,223.392,2373.409508,26769.21415,11983.25167,52.334246,37.316063,37.797444,33.575198,29.630557,40.414219,59.900093,48.107905,0.927804,11.21405,1.326699,0
13465000,-3320000,3010,3010,-130.6782532,-98.23133087,-0.133291543,-248.2746582,223.085,6727.880929,28975.0691,14524.08856,51.010784,42.795569,31.349521,33.512583,25.922923,38.424383,56.673596,49.313931,0.996642,9.595648,2.265291,0
13465000,-3325000,3010,3010,-157.9039612,-132.969574,0.075216509,-289.186676,222.748,10605.59648,31278.37964,18119.0501,43.512187,46.661457,35.370128,33.424024,19.905995,37.036473,54.601955,50.386765,0.772684,7.391232,3.820696,0
13465000,-3330000,3010,3010,-134.2045288,-146.2523804,-0.038161278,-320.4378662,222.409,14265.23723,33403.82178,22263.2164,36.726466,44.577713,30.413005,33.300542,21.385937,35.899552,53.252399,51.311045,0.904386,8.032411,3.099011,0
13465000,-3335000,3010,3010,-16.69690514,-58.03454971,0.165702045,-335.4876404,222.044,18561.12361,35451.35235,26702.09041,33.192908,39.730279,39.614627,33.130162,21.796212,34.585676,52.360909,52.090622,0.904386,8.032411,3.099011,0
13465000,-3340000,3010,3010,-57.66870499,-95.13993835,-0.192742333,-345.9206543,221.679,23141.22203,37499.8697,31310.58065,40.972735,44.188584,39.95859,32.898085,19.524047,31.998328,51.768298,52.73591,1.311934,13.755226,2.094773,0
13465000,-3345000,3010,3010,-3.741158009,-38.21165466,0.001818627,-371.7815552,221.321,27853.41208,39412.18724,32802.95186,42.670452,43.023294,39.365693,32.588159,11.100328,17.000404,51.366036,53.25723,1.396608,21.255045,2.613645,0
13465000,-3350000,3010,3010,-8.773859024,-14.29087067,-0.055454936,-389.5453491,220.967,32651.32419,40859.77667,33699.26764,37.074241,41.600038,36.91818,32.188934,10.80865,25.322031,51.081807,53.663889,2.198282,37.904005,3.9296,0
13465000,-3355000,3010,3010,-44.48580933,-66.87509918,0.140936732,-416.5874939,220.617,37502.07166,41847.19531,34859.30534,30.853547,40.66762,36.176452,31.712311,18.457417,26.617098,50.868505,53.964611,1.94083,30.150392,2.872844,0
13465000,-3360000,3010,3010,-17.30761719,30.13181114,0.038915738,-423.6180725,220.305,42387.30658,41244.85798,36416.43052,33.818159,39.667055,35.426163,31.23155,18.969367,28.030312,50.693406,54.168254,1.042943,16.468655,1.227298,0
13465000,-3365000,3010,3010,-45.73446274,-4.455802441,0.001930441,-433.7611389,219.993,43851.26431,40471.98674,36008.97401,32.81559,40.948927,34.287853,30.896143,17.241098,29.171398,50.531899,54.28454,0.927039,15.675281,1.127074,0
13465000,-3370000,3010,3010,-90.89421844,-41.5972023,0.00555728,-424.1684265,219.697,44541.45779,39741.10611,35178.95962,34.454292,38.468198,34.62882,30.82375,20.709044,29.483096,50.364926,54.324634,0.867405,12.500464,0.771461,0
13465000,-3375000,3010,3010,-132.2009125,-86.33055115,-0.026561452,-426.2371521,219.413,41075.71961,39217.56024,34462.63575,43.948064,41.183482,35.043298,30.985519,20.043155,28.698166,50.177806,54.301414,0.867405,12.500464,0.771461,0
13465000,-3380000,3010,3010,-57.93402863,-52.79978561,0.044461846,-421.2910767,219.13,36724.83243,38910.8305,33793.64213,37.923751,40.247769,35.231916,31.278672,18.022661,28.252734,49.959402,54.229352,0.720753,11.01296,0.584491,0
